legacy_id,external_code,title,rfi_type,prefix,cluster_id,position_type,variant,drug_type,old_thousand
N239,J0610,结构性失忆,metal,J,06,1,0,辨权药,1011
N240,J0650,会议统治,metal,J,06,5,0,辨权药,1012
N241,J0710,签字隔离,metal,J,07,1,0,辨权药,1013
N242,J0750,免责设计,metal,J,07,5,0,辨权药,1014
N243,J0810,偏好殖民,metal,J,08,1,0,辨权药,1015
N244,J0850,合规表演,metal,J,08,5,0,辨权药,1016
N245,J0910,例外特权,metal,J,09,1,0,辨权药,1017
N246,J0950,制度空转,metal,J,09,5,0,辨权药,1018
N247,J1010,追责延迟,metal,J,10,1,0,辨权药,1019
N248,J1050,指令漂移,metal,J,10,5,0,辨权药,1020
N249,J1110,复核失灵,metal,J,11,1,0,辨权药,1021
N250,J1150,组织双标,metal,J,11,5,0,辨权药,1022
N251,J1210,过程殖民,metal,J,12,1,0,辨权药,1023
N252,J1250,政策真空,metal,J,12,5,0,辨权药,1024
N253,J1310,上行修辞,metal,J,13,1,0,辨权药,1025
N254,J1350,文本暴政,metal,J,13,5,0,辨权药,1026
N255,J1410,明规暗例,metal,J,14,1,0,辨权药,1027
N256,J1450,漂亮合规,metal,J,14,5,0,辨权药,1028
N257,J1510,程序性不公,metal,J,15,1,0,辨权药,1029
N258,J1550,例会驯化,metal,J,15,5,0,辨权药,1030
N259,J1610,制度套利,metal,J,16,1,0,辨权药,1031
N260,J1650,权力雾区,metal,J,16,5,0,辨权药,1032
N261,J1710,人情通道,metal,J,17,1,0,辨权药,1033
N262,J1750,集中拍板病,metal,J,17,5,0,辨权药,1034
N263,J1810,口径专政,metal,J,18,1,0,辨权药,1035
N264,J1850,默认加班制,metal,J,18,5,0,辨权药,1036
N265,J1910,名义协同,metal,J,19,1,0,辨权药,1037
N266,J1950,预期殖民,metal,J,19,5,0,辨权药,1038
N267,J2010,不可申诉区,metal,J,20,1,0,辨权药,1039
N268,J2050,责任雾化,metal,J,20,5,0,辨权药,1040
N269,J2110,KPI崇拜,metal,J,21,1,0,辨权药,1041
N270,J2150,ROI幻术,metal,J,21,5,0,辨权药,1042
N271,J2210,预算零和战,metal,J,22,1,0,辨权药,1043
N272,J2250,抢资源成瘾,metal,J,22,5,0,辨权药,1044
N273,J2310,低价中标陷阱,metal,J,23,1,0,辨权药,1045
N274,J2350,质量折现,metal,J,23,5,0,辨权药,1046
N275,J2410,规模虚荣,metal,J,24,1,0,辨权药,1047
N276,J2450,漏斗幻觉,metal,J,24,5,0,辨权药,1048
N277,J2510,预算锁定,metal,J,25,1,0,辨权药,1049
N278,J2550,伪降本,metal,J,25,5,0,辨权药,1050
N279,J2610,资源挤出,metal,J,26,1,0,辨权药,1051
N280,J2650,伪高效,metal,J,26,5,0,辨权药,1052
N281,J2710,达标成瘾,metal,J,27,1,0,辨权药,1053
N282,J2750,增长幻觉,metal,J,27,5,0,辨权药,1054
N283,J2810,现金流盲区,metal,J,28,1,0,辨权药,1055
N284,J2850,边际幻觉,metal,J,28,5,0,辨权药,1056
N285,J2910,单位经济失真,metal,J,29,1,0,辨权药,1057
N286,J2950,预算政治学,metal,J,29,5,0,辨权药,1058
N287,J3010,资源征税,metal,J,30,1,0,辨权药,1059
N288,J3050,计划内浪费,metal,J,30,5,0,辨权药,1060
N289,J3110,效率宗教,metal,J,31,1,0,辨权药,1061
N290,J3150,负债式增长,metal,J,31,5,0,辨权药,1062
N291,J3210,财务视角霸权,metal,J,32,1,0,辨权药,1063
N292,J3250,激励传染,metal,J,32,5,0,辨权药,1064
N293,J3310,合作内卷税,metal,J,33,1,0,辨权药,1065
N294,J3350,奖励错位,metal,J,33,5,0,辨权药,1066
N295,J3410,成本幽灵,metal,J,34,1,0,辨权药,1067
N296,J3450,报表胜利,metal,J,34,5,0,辨权药,1068
N297,J3510,渠道成瘾,metal,J,35,1,0,辨权药,1069
N298,J3550,预算护城河,metal,J,35,5,0,辨权药,1070
N299,J3610,成功税,metal,J,36,1,0,辨权药,1071
N300,J3650,补位税,metal,J,36,5,0,辨权药,1072
N301,J3710,配套失血,metal,J,37,1,0,辨权药,1073
N302,J3750,战略豪赌,metal,J,37,5,0,辨权药,1074
N303,J3810,节点扭曲,metal,J,38,1,0,辨权药,1075
N304,J3850,人力透支套利,metal,J,38,5,0,辨权药,1076
N305,J3910,高估协同,metal,J,39,1,0,辨权药,1077
N306,J3950,成本转嫁链,metal,J,39,5,0,辨权药,1078
N307,J4010,预算神话,metal,J,40,1,0,辨权药,1079
N308,J4050,扩张失配,metal,J,40,5,0,辨权药,1080
S085,J4110,社会契约,metal,J,41,1,0,辨权药,1081
S094,J4150,权威服从,metal,J,41,5,0,辨权药,1082
S098,J4210,帕金森定律,metal,J,42,1,0,止损药,1083
S099,J4250,彼得原理,metal,J,42,5,0,辨权药,1084
N349,M0110,角色过载,wood,M,01,1,0,固界药,2001
N350,M0150,身份债务,wood,M,01,5,0,固界药,2002
N351,M0210,情绪代偿,wood,M,02,1,0,固界药,2003
N352,M0250,老好人陷阱,wood,M,02,5,0,固界药,2004
N353,M0310,补位人格化,wood,M,03,1,0,固界药,2005
N354,M0350,自证型努力,wood,M,03,5,0,固界药,2006
N355,M0410,身份借壳,wood,M,04,1,0,固界药,2007
N356,M0450,自我稀释,wood,M,04,5,0,固界药,2008
N357,M0510,可用性剥削,wood,M,05,1,0,固界药,2009
N358,M0550,懂事惩罚,wood,M,05,5,0,固界药,2010
N359,M0610,低冲突税,wood,M,06,1,0,固界药,2011
N360,M0650,隐性照护劳动,wood,M,06,5,0,固界药,2012
N361,M0710,情感外包,wood,M,07,1,0,固界药,2013
N362,M0750,人格借调,wood,M,07,5,0,固界药,2014
N363,M0810,自我旁观化,wood,M,08,1,0,固界药,2015
N364,M0850,边界迟钝化,wood,M,08,5,0,固界药,2016
N365,M0910,自我折价,wood,M,09,1,0,固界药,2017
N366,M0950,容忍阈值漂移,wood,M,09,5,0,固界药,2018
N367,M1010,责任上瘾,wood,M,10,1,0,固界药,2019
N368,M1050,身份黏连,wood,M,10,5,0,固界药,2020
N369,M1110,在场诅咒,wood,M,11,1,0,固界药,2021
N370,M1150,被需要成瘾,wood,M,11,5,0,固界药,2022
N371,M1210,角色羞耻,wood,M,12,1,0,固界药,2023
N372,M1250,过度自责,wood,M,12,5,0,固界药,2024
N373,M1310,修补者困境,wood,M,13,1,0,固界药,2025
N374,M1350,自我异化,wood,M,13,5,0,固界药,2026
N375,M1410,被看见饥渴,wood,M,14,1,0,固界药,2027
N376,M1450,边界报复,wood,M,14,5,0,固界药,2028
N377,M1510,角色失真疲劳,wood,M,15,1,0,固界药,2029
N378,M1550,信任负税,wood,M,15,5,0,固界药,2030
N379,M1610,家庭占用,wood,M,16,1,0,固界药,2031
N380,M1650,身体预算,wood,M,16,5,0,固界药,2032
N381,M1710,义务蔓延,wood,M,17,1,0,固界药,2033
N382,M1750,高负责者孤岛,wood,M,17,5,0,固界药,2034
N383,M1810,修辞自救,wood,M,18,1,0,固界药,2035
N384,M1850,自我抽空,wood,M,18,5,0,固界药,2036
N385,M1910,低反应承担者,wood,M,19,1,0,固界药,2037
N386,M1950,推力透支,wood,M,19,5,0,固界药,2038
N387,M2010,位置依赖症,wood,M,20,1,0,固界药,2039
N388,M2050,退出羞耻,wood,M,20,5,0,固界药,2040
N429,M2110,空心勤奋,wood,M,21,1,0,固界药,2041
N430,M2150,意义折现,wood,M,21,5,0,固界药,2042
N431,M2210,延迟绝望,wood,M,22,1,0,固界药,2043
N432,M2250,目标空化,wood,M,22,5,0,固界药,2044
N433,M2310,奖励失语,wood,M,23,1,0,固界药,2045
N434,M2350,使命透支,wood,M,23,5,0,固界药,2046
N435,M2410,牺牲债务,wood,M,24,1,0,固界药,2047
N436,M2450,长期主义伪装,wood,M,24,5,0,固界药,2048
N437,M2510,努力贬值,wood,M,25,1,0,固界药,2049
N438,M2550,任务失感,wood,M,25,5,0,固界药,2050
N439,M2610,无意义循环,wood,M,26,1,0,固界药,2051
N440,M2650,延迟回报幻灭,wood,M,26,5,0,固界药,2052
N441,M2710,推力借贷,wood,M,27,1,0,固界药,2053
N442,M2750,体面维持术,wood,M,27,5,0,固界药,2054
N443,M2810,恢复贫困,wood,M,28,1,0,固界药,2055
N444,M2850,低水平维持,wood,M,28,5,0,固界药,2056
N445,M2910,乐观通胀,wood,M,29,1,0,固界药,2057
N446,M2950,行动厌食,wood,M,29,5,0,固界药,2058
N447,M3010,成就空窗,wood,M,30,1,0,固界药,2059
N448,M3050,奖励钝化,wood,M,30,5,0,固界药,2060
N449,M3110,长期疲劳人格化,wood,M,31,1,0,固界药,2061
N450,M3150,反复滚石,wood,M,31,5,0,固界药,2062
N451,M3210,价值感外包,wood,M,32,1,0,固界药,2063
N452,M3250,苦劳成瘾,wood,M,32,5,0,固界药,2064
N453,M3310,碎片休息幻觉,wood,M,33,1,0,固界药,2065
N454,M3350,目标僵尸化,wood,M,33,5,0,固界药,2066
N455,M3410,推力替身,wood,M,34,1,0,固界药,2067
N456,M3450,低希望生态,wood,M,34,5,0,固界药,2068
N457,M3510,结果真空,wood,M,35,1,0,固界药,2069
N458,M3550,叙事脱胶,wood,M,35,5,0,固界药,2070
S073,M4110,意识硬问题,wood,M,41,1,0,破雾药,2071
S074,M4150,成为一只蝙蝠,wood,M,41,5,0,固界药,2072
S075,M4210,捆绑问题,wood,M,42,1,0,识局药,2073
S076,M4250,橡胶手错觉,wood,M,42,5,0,固界药,2074
S077,M4310,里贝特实验,wood,M,43,1,0,辨权药,2075
S078,M4350,哲学僵尸,wood,M,43,5,0,固界药,2076
S079,M4410,脑中之声,wood,M,44,1,0,固界药,2077
S080,M4450,他心问题,wood,M,44,5,0,破局药,2078
S081,M4510,小人谬误,wood,M,45,1,0,破局药,2079
S082,M4550,感受质倒置,wood,M,45,5,0,破雾药,2080
S083,M4610,多重人格,wood,M,46,1,0,固界药,2081
S084,M4650,庄周梦蝶,wood,M,46,5,0,固界药,2082
S097,M4710,习得性无助,wood,M,47,1,0,复燃药,2083
S105,M4750,刺猬效应,wood,M,47,5,0,固界药,2084
S107,M4810,奶头乐理论,wood,M,48,1,0,复燃药,2085
S108,M4850,西西弗斯神话,wood,M,48,5,0,复燃药,2086
N109,S0110,确认偏误,water,S,01,1,0,破雾药,3001
N110,S0150,可得性偏差,water,S,01,5,0,破雾药,3002
N111,S0210,锚定效应,water,S,02,1,0,破雾药,3003
N112,S0250,后见之明偏差,water,S,02,5,0,破雾药,3004
N113,S0310,基本归因错误,water,S,03,1,0,破雾药,3005
N114,S0350,光环效应,water,S,03,5,0,破雾药,3006
N115,S0410,负面偏差,water,S,04,1,0,破雾药,3007
N116,S0450,框架效应,water,S,04,5,0,破雾药,3008
N117,S0510,损失厌恶,water,S,05,1,0,破雾药,3009
N118,S0550,现状偏差,water,S,05,5,0,破雾药,3010
N119,S0610,控制错觉,water,S,06,1,0,破雾药,3011
N120,S0650,赌徒谬误,water,S,06,5,0,破雾药,3012
N121,S0710,热手谬误,water,S,07,1,0,破雾药,3013
N122,S0750,代表性偏差,water,S,07,5,0,破雾药,3014
N123,S0810,选择支持偏差,water,S,08,1,0,破雾药,3015
N124,S0850,结果偏差,water,S,08,5,0,破雾药,3016
N125,S0910,规划谬误,water,S,09,1,0,破雾药,3017
N126,S0950,行动者观察者偏差,water,S,09,5,0,破雾药,3018
N127,S1010,自利偏差,water,S,10,1,0,破雾药,3019
N128,S1050,叙事谬误,water,S,10,5,0,破雾药,3020
N129,S1110,归纳过度,water,S,11,1,0,破雾药,3021
N130,S1150,小数定律,water,S,11,5,0,破雾药,3022
N131,S1210,虚假一致性,water,S,12,1,0,破雾药,3023
N132,S1250,认知失调,water,S,12,5,0,破雾药,3024
N133,S1310,幸福适应,water,S,13,1,0,破雾药,3025
N134,S1350,单因偏见,water,S,13,5,0,破雾药,3026
N135,S1410,错误共识效应,water,S,14,1,0,破雾药,3027
N136,S1450,归零盲区,water,S,14,5,0,破雾药,3028
N137,S1510,过度归类,water,S,15,1,0,破雾药,3029
N138,S1550,模糊规避,water,S,15,5,0,破雾药,3030
N139,S1610,复杂崇拜,water,S,16,1,0,破雾药,3031
N140,S1650,简化成瘾,water,S,16,5,0,破雾药,3032
N141,S1710,动机性推理,water,S,17,1,0,破雾药,3033
N142,S1750,目标替代,water,S,17,5,0,破雾药,3034
N143,S1810,象征满足,water,S,18,1,0,破雾药,3035
N144,S1850,稀缺错觉,water,S,18,5,0,破雾药,3036
N145,S1910,名义理性,water,S,19,1,0,破雾药,3037
N146,S1950,专家幻觉,water,S,19,5,0,破雾药,3038
N147,S2010,局部最优幻觉,water,S,20,1,0,破雾药,3039
N148,S2050,误差正常化,water,S,20,5,0,破雾药,3040
N309,S2110,仪表盘幻觉,water,S,21,1,0,破雾药,3041
N310,S2150,汇报滤镜,water,S,21,5,0,破雾药,3042
N311,S2210,口号遮羞,water,S,22,1,0,破雾药,3043
N312,S2250,叙事绑架,water,S,22,5,0,破雾药,3044
N313,S2310,统计迷雾,water,S,23,1,0,破雾药,3045
N314,S2350,指标烟幕,water,S,23,5,0,破雾药,3046
N315,S2410,透明暴力,water,S,24,1,0,破雾药,3047
N316,S2450,内部公关化,water,S,24,5,0,破雾药,3048
N317,S2510,复盘剧本,water,S,25,1,0,破雾药,3049
N318,S2550,词义殖民,water,S,25,5,0,破雾药,3050
N319,S2610,数据无声区,water,S,26,1,0,破雾药,3051
N320,S2650,表态通胀,water,S,26,5,0,破雾药,3052
N321,S2710,漂亮纪要,water,S,27,1,0,破雾药,3053
N322,S2750,抽样欺骗,water,S,27,5,0,破雾药,3054
N323,S2810,内部舆情操控,water,S,28,1,0,破雾药,3055
N324,S2850,好消息偏置,water,S,28,5,0,破雾药,3056
N325,S2910,术语护城河,water,S,29,1,0,破雾药,3057
N326,S2950,证据装饰,water,S,29,5,0,破雾药,3058
N327,S3010,噪音过载,water,S,30,1,0,破雾药,3059
N328,S3050,报喜体制,water,S,30,5,0,破雾药,3060
N329,S3110,二手焦虑,water,S,31,1,0,破雾药,3061
N330,S3150,可见性政治,water,S,31,5,0,破雾药,3062
N331,S3210,统计替身,water,S,32,1,0,破雾药,3063
N332,S3250,误读级联,water,S,32,5,0,破雾药,3064
N333,S3310,概念漂白,water,S,33,1,0,破雾药,3065
N334,S3350,传播过拟合,water,S,33,5,0,破雾药,3066
N335,S3410,叙事套利,water,S,34,1,0,破雾药,3067
N336,S3450,情报管道单一,water,S,34,5,0,破雾药,3068
N337,S3510,问题去现场化,water,S,35,1,0,破雾药,3069
N338,S3550,证据层级错配,water,S,35,5,0,破雾药,3070
N339,S3610,主流错觉,water,S,36,1,0,破雾药,3071
N340,S3650,内部消息市场,water,S,36,5,0,破雾药,3072
N341,S3710,文本替身现实,water,S,37,1,0,破雾药,3073
N342,S3750,复述依赖,water,S,37,5,0,破雾药,3074
N343,S3810,预警疲劳,water,S,38,1,0,破雾药,3075
N344,S3850,语言通胀,water,S,38,5,0,破雾药,3076
N345,S3910,含糊共识,water,S,39,1,0,破雾药,3077
N346,S3950,图表威权,water,S,39,5,0,破雾药,3078
N347,S4010,结论先行式汇报,water,S,40,1,0,破雾药,3079
N348,S4050,能见度偏税,water,S,40,5,0,破雾药,3080
S001,S4110,最后一粒沙子,water,S,41,1,0,识局药,3081
S002,S4150,盲人的第一眼,water,S,41,5,0,识局药,3082
S003,S4210,太空里的茶壶,water,S,42,1,0,破雾药,3083
S004,S4250,墙上的影子,water,S,42,5,0,去噪药,3084
S005,S4310,没见过≠不存在,water,S,43,1,0,预警药,3085
S006,S4350,记忆打架,water,S,43,5,0,破雾药,3086
S007,S4410,地图不是领土,water,S,44,1,0,识局药,3087
S008,S4450,看不见的弹孔,water,S,44,5,0,识局药,3088
S009,S4510,奥卡姆剃刀,water,S,45,1,0,破雾药,3089
S010,S4550,看不见的园丁,water,S,45,5,0,预警药,3090
S011,S4610,字看久了不认识,water,S,46,1,0,去噪药,3091
S012,S4650,越蠢越自信,water,S,46,5,0,破雾药,3092
S013,S4710,特修斯之船,water,S,47,1,0,固界药,3093
S014,S4750,传送是自杀吗,water,S,47,5,0,预警药,3094
S015,S4810,沼泽人,water,S,48,1,0,固界药,3095
S016,S4850,缸中之脑,water,S,48,5,0,去噪药,3096
S017,S4910,完美的虚假人生,water,S,49,1,0,复燃药,3097
S018,S4950,醒来之后,water,S,49,5,0,预警药,3098
S019,S5010,一个人有两个灵魂吗,water,S,50,1,0,固界药,3099
S020,S5050,世上另一个我,water,S,50,5,0,固界药,3100
S021,S5110,格式化之后,water,S,51,1,0,复燃药,3101
S022,S5150,宇宙只是幻觉,water,S,51,5,0,去噪药,3102
S023,S5210,义肢算不算身体,water,S,52,1,0,辨权药,3103
S024,S5250,为什么会有东西,water,S,52,5,0,破雾药,3104
S025,S5310,阿喀琉斯追不上乌龟,water,S,53,1,0,识局药,3105
S026,S5350,飞矢不动,water,S,53,5,0,预警药,3106
S027,S5410,能回到过去杀外祖母吗,water,S,54,1,0,识局药,3107
S028,S5450,拿着莎士比亚全集回到过去,water,S,54,5,0,去噪药,3108
S029,S5510,他老了你没老,water,S,55,1,0,破雾药,3109
S030,S5550,宇宙是注定的吗,water,S,55,5,0,预警药,3110
S031,S5610,宇宙的结局是虚无,water,S,56,1,0,复燃药,3111
S032,S5650,外星人在哪,water,S,56,5,0,破局药,3112
S033,S5710,为什么夜空是黑的,water,S,57,1,0,去噪药,3113
S034,S5750,宇宙参数为什么这么准,water,S,57,5,0,破雾药,3114
S035,S5810,能违背热力学吗,water,S,58,1,0,预警药,3115
S036,S5850,选择即分裂,water,S,58,5,0,复燃药,3116
S037,S5910,这句话是假的,water,S,59,1,0,识局药,3117
S038,S5950,只给不自己刮脸的人刮脸,water,S,59,5,0,固界药,3118
S039,S6010,总有问题解不了,water,S,60,1,0,辨权药,3119
S040,S6050,上帝能造搬不动的石头吗,water,S,60,5,0,辨权药,3120
S041,S6110,无法预测的突袭,water,S,61,1,0,预警药,3121
S042,S6150,推理的前提,water,S,61,5,0,破雾药,3122
S043,S6210,只有你懂的语言存在吗,water,S,62,1,0,破局药,3123
S044,S6250,盒子里的甲虫,water,S,62,5,0,去噪药,3124
S045,S6310,进退维谷,water,S,63,1,0,识局药,3125
S046,S6350,晨星与暮星,water,S,63,5,0,辨权药,3126
S047,S6410,摩尔悖论,water,S,64,1,0,固界药,3127
S048,S6450,鳄鱼悖论,water,S,64,5,0,破局药,3128
S093,S6510,信息茧房,water,S,65,1,0,去噪药,3129
S101,S6550,幸存者偏差,water,S,65,5,0,破雾药,3130
S102,S6610,达克效应,water,S,66,1,0,破雾药,3131
S103,S6650,禀赋效应,water,S,66,5,0,固界药,3132
S106,S6710,鸟笼效应,water,S,67,1,0,辨权药,3133
N389,T0110,单点故障崇拜,earth,T,01,1,0,预警药,5001
N390,T0150,冗余羞耻,earth,T,01,5,0,预警药,5002
N391,T0210,热修复文化,earth,T,02,1,0,预警药,5003
N392,T0250,技术债政治化,earth,T,02,5,0,预警药,5004
N393,T0310,迁移幻觉,earth,T,03,1,0,预警药,5005
N394,T0350,自动化盲信,earth,T,03,5,0,预警药,5006
N395,T0410,数据漂移组织版,earth,T,04,1,0,预警药,5007
N396,T0450,接口坍塌,earth,T,04,5,0,预警药,5008
N397,T0510,压测缺席,earth,T,05,1,0,预警药,5009
N398,T0550,级联故障,earth,T,05,5,0,预警药,5010
N399,T0610,隐藏依赖,earth,T,06,1,0,预警药,5011
N400,T0650,容错外包,earth,T,06,5,0,预警药,5012
N401,T0710,系统时滞,earth,T,07,1,0,预警药,5013
N402,T0750,快速复制灾难,earth,T,07,5,0,预警药,5014
N403,T0810,版本幽灵,earth,T,08,1,0,预警药,5015
N404,T0850,权限碎片,earth,T,08,5,0,预警药,5016
N405,T0910,监控假安心,earth,T,09,1,0,预警药,5017
N406,T0950,灰度失灵,earth,T,09,5,0,预警药,5018
N407,T1010,试运行幻觉,earth,T,10,1,0,预警药,5019
N408,T1050,数字遗迹,earth,T,10,5,0,预警药,5020
N409,T1110,模型霸权,earth,T,11,1,0,预警药,5021
N410,T1150,黑盒治理,earth,T,11,5,0,预警药,5022
N411,T1210,高速腐蚀,earth,T,12,1,0,预警药,5023
N412,T1250,协议错配,earth,T,12,5,0,预警药,5024
N413,T1310,运行时扭曲,earth,T,13,1,0,预警药,5025
N414,T1350,边缘事故,earth,T,13,5,0,预警药,5026
N415,T1410,决策延迟炸弹,earth,T,14,1,0,预警药,5027
N416,T1450,数字投影化,earth,T,14,5,0,预警药,5028
N417,T1510,维护贫困,earth,T,15,1,0,预警药,5029
N418,T1550,兼容性税,earth,T,15,5,0,预警药,5030
